 0.00417538 1 1 120 0.00833333 0.0909059
 0.00836835 1 2 120 0.0166667 0.128019
 0.0125791 1 3 120 0.025 0.156125
 0.0168079 1 4 120 0.0333333 0.179505
 0.0105275 2 5 120 0.0416667 0.199826
 0.0126603 2 6 120 0.05 0.217945
 0.0148024 2 7 120 0.0583333 0.234373
 0.0169541 2 8 120 0.0666667 0.249444
 0.0127436 3 9 120 0.075 0.263391
 0.014191 3 10 120 0.0833333 0.276385
 0.0156449 3 11 120 0.0916667 0.288555
 0.0171056 3 12 120 0.1 0.3
 0.018573 3 13 120 0.108333 0.310801
 0.0200473 3 14 120 0.116667 0.321023
 0.0161464 4 15 120 0.125 0.330719
 0.0172627 4 16 120 0.133333 0.339935
 0.0183843 4 17 120 0.141667 0.348708
 0.0195114 4 18 120 0.15 0.357071
 0.020644 4 19 120 0.158333 0.365053
 0.0217823 4 20 120 0.166667 0.372678
 0.0229262 4 21 120 0.175 0.379967
 0.024076 4 22 120 0.183333 0.38694
 0.0252316 4 23 120 0.191667 0.393612
 0.0211146 5 24 120 0.2 0.4
 0.0220487 5 25 120 0.208333 0.406116
 0.0229878 5 26 120 0.216667 0.411974
 0.0239318 5 27 120 0.225 0.417582
 0.024881 5 28 120 0.233333 0.422953
 0.0258353 5 29 120 0.241667 0.428093
 0.0223291 6 30 120 0.25 0.433013
 0.0231332 6 31 120 0.258333 0.437718
 0.0239419 6 32 120 0.266667 0.442217
 0.0247551 6 33 120 0.275 0.446514
 0.0255731 6 34 120 0.283333 0.450617
 0.0263958 6 35 120 0.291667 0.45453
 0.0233343 7 36 120 0.3 0.458258
 0.0240479 7 37 120 0.308333 0.461805
 0.0247657 7 38 120 0.316667 0.465176
 0.025488 7 39 120 0.325 0.468375
 0.0229379 8 40 120 0.333333 0.471405
 0.0235778 8 41 120 0.341667 0.474268
 0.0242218 8 42 120 0.35 0.47697
 0.0248699 8 43 120 0.358333 0.479511
 0.0255222 8 44 120 0.366667 0.481894
 0.0232701 9 45 120 0.375 0.484123
 0.0238576 9 46 120 0.383333 0.486198
 0.0244492 9 47 120 0.391667 0.488123
 0.0250448 9 48 120 0.4 0.489898
 0.0230801 10 49 120 0.408333 0.491525
 0.0236237 10 50 120 0.416667 0.493007
 0.0241712 10 51 120 0.425 0.494343
 0.0247227 10 52 120 0.433333 0.495536
 0.0229803 11 53 120 0.441667 0.496586
 0.0234891 11 54 120 0.45 0.497494
 0.0240018 11 55 120 0.458333 0.498261
 0.0245185 11 56 120 0.466667 0.498888
 0.0250392 11 57 120 0.475 0.499375
 0.0234337 12 58 120 0.483333 0.499722
